"id","event","deal_value","delivery_text","event_date","face_value","is_active","is_agent_only","is_best_deal","is_eticket","is_instant_delivery","is_low_price","is_money_saver","note","price","quality","quantity","row","section","ticket_id","url"
"852","7249102","103.3","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,True,True,"Flash Seats","4.00","100",2,"7","424","4683664762","https://www.tickpick.com/checkout/?listingId=4683664762&quantity=2&listingType=TP&price=4.0&dt=f&dv=103.3&e=True&r=7"
"854","7249102","54.92","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,False,True,"Flash Seats","6.00","53.17",4,"6","404","4683664691","https://www.tickpick.com/checkout/?listingId=4683664691&quantity=4&listingType=TP&price=6.0&dt=f&dv=54.92&e=True&r=6"
"853","7249102","52.5","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,False,True,"Flash Seats","6.00","50.82",4,"12","402","4683664675","https://www.tickpick.com/checkout/?listingId=4683664675&quantity=4&listingType=TP&price=6.0&dt=f&dv=52.5&e=True&r=12"
"855","7249102","69.42","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,False,True,"Flash Seats","6.00","67.2",4,"7","412","4683664714","https://www.tickpick.com/checkout/?listingId=4683664714&quantity=4&listingType=TP&price=6.0&dt=f&dv=69.42&e=True&r=7"
"856","7249102","55.5","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,False,True,"Flash Seats","6.00","53.73",4,"6","415","4683664717","https://www.tickpick.com/checkout/?listingId=4683664717&quantity=4&listingType=TP&price=6.0&dt=f&dv=55.5&e=True&r=6"
"857","7249102","55","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,False,True,"Flash Seats","6.00","53.24",4,"7","415","4683664723","https://www.tickpick.com/checkout/?listingId=4683664723&quantity=4&listingType=TP&price=6.0&dt=f&dv=55.0&e=True&r=7"
"858","7249102","54.31","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,False,True,"Flash Seats","6.00","52.57",4,"7","416","4683664724","https://www.tickpick.com/checkout/?listingId=4683664724&quantity=4&listingType=TP&price=6.0&dt=f&dv=54.31&e=True&r=7"
"859","7249102","52.46","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,False,True,"Flash Seats","6.00","50.79",4,"10","418","4683664738","https://www.tickpick.com/checkout/?listingId=4683664738&quantity=4&listingType=TP&price=6.0&dt=f&dv=52.46&e=True&r=10"
"861","7249102","53.08","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,False,True,"Flash Seats","6.00","51.38",4,"9","418","4683664744","https://www.tickpick.com/checkout/?listingId=4683664744&quantity=4&listingType=TP&price=6.0&dt=f&dv=53.08&e=True&r=9"
"860","7249102","61.48","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER TICKET TRANSFER PLEASE NOTE THAT YOU WILL NEED TO USE AN IOS OR ANDROID MOBILE DEVICE TO GAIN ENTRY TO YOUR EVENT.","5.00","59.51",4,"12","420","4763826112","https://www.tickpick.com/checkout/?listingId=4763826112&quantity=4&listingType=TP&price=5.0&dt=f&dv=61.48&e=True&r=12"
"862","7249102","51","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,False,True,"Flash Seats","6.00","49.37",4,"15","421","4683664758","https://www.tickpick.com/checkout/?listingId=4683664758&quantity=4&listingType=TP&price=6.0&dt=f&dv=51.0&e=True&r=15"
"863","7249102","67.77","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,False,True,"Flash Seats","6.00","65.6",4,"9","429","4683664770","https://www.tickpick.com/checkout/?listingId=4683664770&quantity=4&listingType=TP&price=6.0&dt=f&dv=67.77&e=True&r=9"
"864","7249102","56.15","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,False,True,"Flash Seats","6.00","54.36",4,"4","432","4683664776","https://www.tickpick.com/checkout/?listingId=4683664776&quantity=4&listingType=TP&price=6.0&dt=f&dv=56.15&e=True&r=4"
"865","7249102","54","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,False,True,"Flash Seats","6.00","52.27",4,"9","433","4683664780","https://www.tickpick.com/checkout/?listingId=4683664780&quantity=4&listingType=TP&price=6.0&dt=f&dv=54.0&e=True&r=9"
"866","7249102","51.71","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,False,True,"Flash Seats","6.00","50.06",4,"12","417","4691862862","https://www.tickpick.com/checkout/?listingId=4691862862&quantity=4&listingType=TP&price=6.0&dt=f&dv=51.71&e=True&r=12"
"867","7249102","51.71","E-TRANSFER","2025-10-03 03:00:00+03","0.00",True,False,False,True,False,False,True,"Flash Seats","6.00","50.06",2,"12","419","4713810784","https://www.tickpick.com/checkout/?listingId=4713810784&quantity=2&listingType=TP&price=6.0&dt=f&dv=51.71&e=True&r=12"
"868","7249102","53.08","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,False,True,"Flash Seats","6.00","51.38",4,"9","420","4713810788","https://www.tickpick.com/checkout/?listingId=4713810788&quantity=4&listingType=TP&price=6.0&dt=f&dv=53.08&e=True&r=9"
